sequence,det_HOTA_delta,cls_HOTA_delta,DetA_delta,AssA_delta,GT_Dets,weighted_det_delta
data23-1,-2.3631654448964525,2.430749999999996,-1.8972062651009551,-3.4026480921436075,1273.0,-3008.309611353184
data24-1,0.2682738867810386,2.1083750000000023,0.757245360989991,-0.505805650108968,10993.0,2949.1348373839573
data27-1,3.7428556882938153,4.822749999999999,5.074198615721819,0.8818281970067545,202.0,756.0568490353508
data28-1,-2.2486487290325385,-1.2167499999999905,-4.459801135948403,0.1452926512293402,3966.0,-8918.140859343048
data28-2,1.1050396501176465,-9.463687499999999,2.1483909829960126,-0.15877210109557893,968.0,1069.6783813138818
data28-3,-2.2366575575614576,-2.685987500000003,0.07890527066951591,-7.246189507962839,303.0,-677.7072399411217
data28-4,-5.983824132536725,-2.869250000000001,-11.17073873666017,-0.41213460937271407,231.0,-1382.2633746159834
data28-5,-0.8398308647816535,-0.5702499999999979,-0.16228819753751367,-2.0777922621574447,183.0,-153.6890482550426
data28-6,12.53212815194572,6.3866125,10.496123012940684,6.189476873943342,244.0,3057.8392690747555
data30-10,0.11367227715175687,4.4141249999999985,1.2019923438731013,-1.4987164015711016,7170.0,815.0302271780968
data30-2,-1.0201380953231194,4.255999999999993,-0.47613328282687917,-1.6730855788869974,4490.0,-4580.420048000806
data30-3,1.7256207627462103,7.323362500000002,1.7136787695874247,1.5477672437528014,3785.0,6531.474586994406
data30-4,-1.764465447030858,11.724975,-0.24378180831784846,-3.532838632674995,3038.0,-5360.446028079747
data30-5,-1.51554030824353,-0.15983750000000185,-1.6579105911952041,-1.2850093212753393,2654.0,-4022.2439780783284
data30-9,-0.41711690174393823,0.5538749999999979,-0.6390711145845813,-0.3270992842432747,3634.0,-1515.8028209374716
data31-1,0.13805675238454995,0.017250000000000654,-0.9740807130191271,1.6143179155709078,933.0,128.8069499747851
data33-1,8.099120664067193,1.2966249999999997,9.51728951853822,6.840000490072647,657.0,5321.122276292146
data34-1,2.9675543189518976,2.9687125000000023,1.3581195681651508,5.78929442639042,11860.0,35195.1942227695
data34-2,1.5864778609508434,6.985437500000003,4.183053821125853,-2.6623202745158494,2298.0,3645.726124465038
data34-3,-0.8332341124987082,-7.135374999999996,-2.343088297805707,3.779642288613317,2596.0,-2163.0757560466463
data36-10,0.05148940265912216,-3.873125000000009,-0.15226391472672418,0.1408078517529674,19238.0,990.5531283561921
data36-11,-0.8341615167182255,-2.7381249999999966,-1.5667844706804388,0.14472430810140224,8886.0,-7412.359237558151
data36-12,1.1019953928099042,4.463875000000002,1.3064089936275778,0.836793919603295,3849.0,4241.580266925322
data36-13,0.8786355943193058,3.3094375000000014,0.857532955154177,1.3042876567267854,1780.0,1563.9713578883643
data36-4,-1.4383540672382793,-1.8503750000000068,-1.6248045786030971,-0.9964412597857546,13050.0,-18770.520577459545
data36-5,0.4850397961786257,-2.126512499999997,-0.2557870576792993,1.273058098238792,7858.0,3811.4427183716407
data37-1,-1.5520432371412056,1.765900000000002,-2.0718783712709055,-0.8493978611076756,14320.0,-22225.259155862066
data37-10,-0.22871701244993403,0.5958749999999924,-0.4115434313661268,-0.043429757280520676,4504.0,-1030.141424074503
data37-11,0.08629892629605251,5.893625,-0.20443069600250396,0.44636771281263066,10679.0,921.5862339155448
data37-12,1.7096999329427973,1.875,2.5199299695788397,0.8368876311943723,2034.0,3477.5296636056496
data37-2,-1.0535930305780425,1.3272499999999994,0.6064368777685303,-2.541709918714737,5595.0,-5894.853006084148
data39-1,-1.1584174505927578,-0.22587500000000027,0.36493335863104903,-3.258209904432235,647.0,-749.4960905335143
data39-2,5.455369319624971,0.6446249999999996,9.317252792239046,-0.9985684711101328,462.0,2520.3806256667367
data39-3,-3.210431195291349,-0.3616250000000001,-6.086805068446573,0.1838302979070079,1271.0,-4080.4580492153045
