sequence,base_HOTA,experiment_HOTA,HOTA_delta,base_DetA,experiment_DetA,DetA_delta,base_AssA,experiment_AssA,AssA_delta,base_DetRe,experiment_DetRe,DetRe_delta,base_DetPr,experiment_DetPr,DetPr_delta,base_MOTA,experiment_MOTA,MOTA_delta,base_IDF1,experiment_IDF1,IDF1_delta,base_IDSW,experiment_IDSW,IDSW_delta,base_Frag,experiment_Frag,Frag_delta,base_CLR_FP,experiment_CLR_FP,CLR_FP_delta,base_CLR_FN,experiment_CLR_FN,CLR_FN_delta,base_GT_Dets,experiment_GT_Dets,GT_Dets_delta,det_HOTA_delta,cls_HOTA_delta,base_raw_precision,experiment_raw_precision,raw_precision_delta,base_raw_recall,experiment_raw_recall,raw_recall_delta,base_raw_f1,experiment_raw_f1,raw_f1_delta,base_raw_loc_iou,experiment_raw_loc_iou,raw_loc_iou_delta,base_pair_precision,experiment_pair_precision,pair_precision_delta,base_pair_recall,experiment_pair_recall,pair_recall_delta,cause
data23-1,61.94674410606208,57.17420632268889,-4.772537783373188,52.28448638183747,53.912194250400525,1.627707868563057,75.35921986101188,62.54534739721127,-12.813872463800607,55.579443502708074,58.34125770041758,2.761814197709505,75.34891541953927,72.38637529496255,-2.9625401245767193,65.27886881382561,68.73527101335428,3.456402199528668,77.75768535262206,72.03131796433232,-5.726367388289745,6.0,19.0,13.0,23.0,20.0,-3.0,51.0,66.0,15.0,385.0,313.0,-72.0,1273.0,1273.0,0.0,-4.772537783373188,2.66075,92.66968325791855,85.78595317725753,-6.883730080661024,80.43990573448548,80.59701492537313,0.15710919088765252,86.12279226240538,83.11057108140947,-3.0122211809959083,75.46475595299853,74.01481419511241,-1.4499417578861227,99.89680082559339,98.92241379310344,-0.9743870324899433,77.87610619469027,73.85358004827032,-4.022526146419949,association-only
data24-1,55.76172946362383,56.67640944337907,0.9146799797552418,46.25412728327308,47.97558164573313,1.721454362460051,70.38310404001443,69.99585277519641,-0.3872512648180191,55.334734543992106,57.249350064873816,1.9146155208817106,65.54193910592664,66.44236753200568,0.9004284260790314,46.911671063403986,50.359319566997186,3.4476485035932,63.64802209726743,65.24309797214757,1.5950758748801377,162.0,146.0,-16.0,479.0,401.0,-78.0,1981.0,1895.0,-86.0,3693.0,3416.0,-277.0,10993.0,10993.0,0.0,0.9146799797552418,1.722999999999999,71.5734234634884,69.7136563876652,-1.8597670758231999,73.20112799053943,74.85672700809606,1.655599017556625,72.37812556215147,72.19370969864455,-0.18441586350691352,77.60907999802683,77.66802352929513,0.05894353126829799,99.8510090749018,99.89487516425756,0.04386608935575964,68.79432624113475,70.94064949608064,2.1463232549458837,association-only
data27-1,46.860264466034856,48.08305339463347,1.2227889285986109,33.92288348192077,34.52597654280125,0.6030930608804823,65.0168753546557,67.05905094899933,2.0421755943436324,42.39187076602396,51.90203230849401,9.510161542470044,58.65176640230714,48.09270883631096,-10.559057565996177,22.772277227722775,9.900990099009901,-12.871287128712874,48.85057471264368,51.42857142857142,2.577996715927746,8.0,4.0,-4.0,5.0,4.0,-1.0,46.0,97.0,51.0,102.0,81.0,-21.0,202.0,202.0,0.0,1.2227889285986109,2.385375,58.951965065502186,55.00000000000001,-3.951965065502179,66.83168316831683,76.23762376237624,9.405940594059416,62.64501160092808,63.900414937759344,1.2554033368312645,83.64938217732642,84.01597435404729,0.3665921767208715,98.30508474576271,98.56115107913669,0.25606633337397966,61.702127659574465,72.87234042553192,11.170212765957451,improved
data28-1,65.42808773611965,64.33262500415064,-1.0954627319690076,64.11346267911613,65.98018150537965,1.8667188262635221,66.91651609554214,62.87796234901396,-4.038553746528173,70.42758181383869,73.08437508294185,2.6567932691031615,78.92506060290596,78.80713202255231,-0.11792858035364873,73.27281896116995,74.53353504790721,1.2607160867372613,74.32378414390406,72.10884353741497,-2.214940606489094,45.0,74.0,29.0,61.0,59.0,-2.0,294.0,324.0,30.0,721.0,612.0,-109.0,3966.0,3966.0,0.0,-1.0954627319690076,-0.4642249999999919,82.80843002604783,81.5329448677723,-1.2754851582755293,88.17448310640444,91.72970247100352,3.5552193645990826,85.4072536329222,86.3312766967252,0.9240230638029914,83.2977376017514,83.57879946928895,0.28106186753755935,99.55463182897863,99.2468134414832,-0.30781838749543056,87.09090909090908,88.98701298701299,1.8961038961039094,association-only
data28-2,67.72018148409325,53.2330310847845,-14.487150399308746,60.543469601031155,62.59047410202746,2.0470045009963016,75.97228412430754,45.63431773258613,-30.3379663917214,67.33362331448456,68.75271857329274,1.4190952588081842,72.34067410479584,73.94736842105264,1.6066943162568066,76.96280991735537,77.06611570247934,0.10330578512396471,87.64044943820225,63.91862955032121,-23.721819887881047,6.0,46.0,40.0,13.0,13.0,0.0,75.0,54.0,-21.0,142.0,122.0,-20.0,968.0,968.0,0.0,-14.487150399308746,-10.300012499999998,93.82845188284519,76.73060884070058,-17.097843042144603,92.66528925619835,95.0413223140496,2.376033057851245,93.24324324324324,84.91001384402401,-8.333229399219235,76.4300455280072,76.48056912762316,0.05052359961595698,99.4199535962877,96.1869618696187,-3.232991726668999,91.85423365487674,83.81564844587352,-8.038585209003216,association-only
data28-3,42.8602749540005,50.52967104221459,7.669396088214086,27.213550461288012,37.83170951372441,10.6181590524364,68.35059340445731,68.61699815472421,0.2664047502669007,35.81726593712003,50.66875108563488,14.851485148514854,49.330143540669845,55.027353329560455,5.697209788890611,10.561056105610561,26.4026402640264,15.841584158415838,47.41873804971319,58.4192439862543,11.00050593654111,2.0,7.0,5.0,5.0,11.0,6.0,93.0,96.0,3.0,176.0,120.0,-56.0,303.0,303.0,0.0,7.669396088214086,5.927249999999994,64.54081632653062,75.92067988668555,11.37986356015493,83.4983498349835,88.44884488448845,4.950495049504951,72.80575539568346,81.70731707317073,8.901561677487265,79.18006787187026,78.34564956155286,-0.8344183103174032,100.0,100.0,0.0,82.05128205128204,86.44688644688645,4.395604395604408,improved
data28-4,60.20732468221136,61.02021900454934,0.8128943223379821,57.306254490955354,60.179338313538075,2.8730838225827213,64.53655617033917,62.78396486890338,-1.7525913014357855,61.22123490544544,65.25404420141263,4.0328092959671835,77.27926373310325,76.1297182349814,-1.149545498121853,64.93506493506493,70.995670995671,6.0606060606060765,74.39613526570048,75.990675990676,1.5945407249755164,19.0,8.0,-11.0,5.0,5.0,0.0,7.0,13.0,6.0,55.0,46.0,-9.0,231.0,231.0,0.0,0.8128943223379821,3.481874999999995,67.59581881533101,69.6113074204947,2.0154886051636822,83.98268398268398,85.28138528138528,1.2987012987013031,74.9034749034749,76.65369649805447,1.7502215945795712,77.76392338240576,77.6841719743564,-0.07975140804936132,89.88095238095238,92.98245614035088,3.101503759398497,74.01960784313727,77.94117647058823,3.9215686274509665,association-only
data28-5,60.13447678659829,54.38159733653679,-5.752879450061499,50.954338917916296,41.567296542267975,-9.38704237564832,73.71533690813735,73.60644906110775,-0.10888784702959242,58.958872591314346,47.85734828875467,-11.101524302559675,64.99682942295497,63.0064369556986,-1.9903924672563775,56.284153005464475,28.96174863387978,-27.322404371584696,76.21776504297995,58.38509316770186,-17.832671875278088,1.0,2.0,1.0,15.0,13.0,-2.0,31.0,42.0,11.0,48.0,86.0,38.0,183.0,183.0,0.0,-5.752879450061499,-1.3732499999999952,70.13574660633483,68.20809248554913,-1.9276541207857036,84.69945355191257,64.48087431693989,-20.21857923497268,76.73267326732672,66.29213483146069,-10.440538435866031,72.1836514086012,74.49708281053324,2.31343140193205,99.17355371900827,100.0,0.8264462809917319,72.72727272727273,53.333333333333336,-19.393939393939398,detection-dominant
data28-6,14.07856270899736,43.248181088892366,29.169618379895006,5.019129561558133,31.108772158444335,26.0896425968862,39.55615332314425,60.242842583550136,20.686689260405885,7.937877480586714,44.39171699741157,36.45383951682486,11.882466903454958,48.572102902997386,36.68963599954243,-49.59016393442623,8.60655737704918,58.19672131147541,9.828009828009828,49.25053533190578,39.422525503895955,2.0,4.0,2.0,2.0,8.0,6.0,141.0,99.0,-42.0,222.0,120.0,-102.0,244.0,244.0,0.0,29.169618379895006,16.5809875,63.30275229357798,87.54716981132076,24.244417517742775,84.8360655737705,95.08196721311475,10.245901639344254,72.50437828371278,91.15913555992141,18.654757276208628,83.42859087070981,84.22223040191777,0.7936395312079583,96.55172413793103,100.0,3.448275862068968,73.36244541484717,94.75982532751091,21.397379912663737,improved
data30-10,61.3967051725014,61.95547817405694,0.5587730015555437,51.40091828171557,53.394174578431844,1.9932562967162752,74.40811691220107,73.02404732917263,-1.3840695830284346,56.980107171694925,58.49078763855245,1.5106804668575222,74.02561486157867,74.84900006575424,0.8233852041755654,59.693165969316595,63.75174337517434,4.058577405857747,73.92229490109544,75.51867219917013,1.5963772980746853,65.0,42.0,-23.0,214.0,203.0,-11.0,587.0,495.0,-92.0,2238.0,2062.0,-176.0,7170.0,7170.0,0.0,0.5587730015555437,5.139000000000003,84.92721865706685,84.84156002437538,-0.08565863269146234,75.67642956764296,77.67085076708507,1.9944211994421153,80.03540084076998,81.09800495121597,1.0626041104459887,78.66108285011212,78.13624817948914,-0.5248346706229796,99.56650246305418,99.65576592082617,0.08926345777199174,72.69457631995397,74.96763055675443,2.273054236800462,association-only
